"id","templateId","published"
"1","1085","True"
"2","1090","True"
"3","1089","True"
"4","1089","True"
"5","1089","True"
"6","1089","True"
"7","1089","True"
"8","1089","True"
"9","1089","True"
"10","1089","True"
"11","1087","True"
"12","1088","True"
"13","1088","True"
"14","1088","True"
"15","1088","True"
"16","1088","True"
"17","1084","True"
"18","1084","True"
"19","1084","True"
"20","1081","True"
"21","1082","True"
"22","1082","True"
"23","1082","True"
"24","1083","True"
"42","1085","False"
"43","1090","False"
"44","1089","False"
"45","1089","False"
"46","1089","False"
"47","1089","False"
"48","1089","False"
"49","1089","False"
"50","1089","False"
"51","1089","False"
"52","1087","False"
"53","1088","False"
"54","1088","False"
"55","1088","False"
"56","1088","False"
"57","1088","False"
"58","1084","False"
"59","1084","False"
"60","1084","False"
"61","1081","False"
"62","1082","False"
"63","1082","False"
"64","1082","False"
"65","1083","False"
