"nodeId","published","data","rv"
"1104","False","{""pd"":{""heroHeader"":[{""v"":""Umbraco Demo""}],""heroDescription"":[{""v"":""Moonfish, steelhead, lamprey southern flounder tadpole fish sculpin bigeye, blue-redstripe danio collared dogfish. Smalleye squaretail goldfish arowana butterflyfish pipefish wolf-herring jewel tetra, shiner; gibberfish red velvetfish. Thornyhead yellowfin pike threadsail ayu cutlassfish.""}],""heroCTACaption"":[{""v"":""Check our products""}],""HeroCtalink"":[{""v"":""umb://document/ec4aafcc0c254f25a8fe705bfae1d324""}],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""rows\"": [\n        {\n          \""name\"": \""Full Width\"",\n          \""areas\"": [\n            {\n              \""grid\"": 12,\n              \""allowAll\"": false,\n              \""allowed\"": [\n                \""media\"",\n                \""macro\"",\n                \""embed\"",\n                \""headline\""\n              ],\n              \""hasConfig\"": false,\n              \""controls\"": [\n                {\n                  \""value\"": {\n                    \""macroAlias\"": \""latestBlogposts\"",\n                    \""macroParamsDictionary\"": {\n                      \""numberOfPosts\"": \""3\"",\n                      \""startNodeId\"": \""umb://document/1d770f10d1ca4a269d68071e2c9f7ac1\""\n                    }\n                  },\n                  \""editor\"": {\n                    \""name\"": \""Macro\"",\n                    \""alias\"": \""macro\"",\n                    \""view\"": \""macro\"",\n                    \""render\"": null,\n                    \""icon\"": \""icon-settings-alt\"",\n                    \""config\"": {}\n                  },\n                  \""active\"": false\n                }\n              ]\n            }\n          ],\n          \""hasConfig\"": false,\n          \""id\"": \""314cb47b-fbe1-eeb6-f7cc-38db875d0f06\""\n        }\n      ]\n    }\n  ]\n}""}],""footerHeader"":[{""v"":""Umbraco Demo""}],""footerDescription"":[{""v"":""Curabitur arcu erat, accumsan id imperdiet et, porttitor at sem. Curabitur arcu erat, accumsan id imperdiet et, porttitor at sem. Vivamus suscipit tortor eget felis porttitor volutpat""}],""footerCTACaption"":[{""v"":""Read All on the Blog""}],""FooterCtalink"":[{""v"":""umb://document/1d770f10d1ca4a269d68071e2c9f7ac1""}],""footerAddress"":[{""v"":""Umbraco HQ - Unicorn Square - Haubergsvej 1 - 5000 Odense C - Denmark - +45 70 26 11 62""}],""HeroBackgroundImage"":[{""v"":""umb://media/662af6ca411a4c93a6c722c4845698e7""}],""font"":[{""v"":""serif""}],""colorTheme"":[{""v"":""earth""}],""sitename"":[{""v"":""Umbraco Sample Site""}],""SiteLogo"":[]},""cd"":{},""us"":""home""}","1"
"1105","False","{""pd"":{""pageTitle"":[{""v"":""Our Gorgeous Selection""}],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}],""seoMetaDescription"":[],""keywords"":[{""v"":""[]""}],""umbracoNavihide"":[{""v"":0}],""defaultCurrency"":[{""v"":""[\""€\""]""}],""featuredProducts"":[{""v"":""umb://document/262beb7053a649b89e98cfde2e85a78e,umb://document/df1eb830411b4d41a3433917b76d533c,umb://document/4e96411ab8e1435f93222faee30ef5f2,umb://document/d390a562107d4f028df757aa86bad752,umb://document/bb7d5ae007ac40b8b5b918c36947fb56,umb://document/202cdc2f1a4540f4a653a7b321e1c54c,umb://document/103171c8e11c40029bb2f3404cada22a,umb://document/061662b9b02a4dcfaf5992b603e8e3e1""}]},""cd"":{},""us"":""products""}","1"
"1106","False","{""pd"":{""productName"":[{""v"":""Tattoo""}],""price"":[{""v"":499.0}],""category"":[{""v"":""tattoo,dedication""}],""description"":[{""v"":""Cras ultricies ligula sed magna dictum porta.""}],""sku"":[{""v"":""UMB-TATTOO""}],""photos"":[{""v"":""umb://media/20e3a8ffad1b4fe9b48cb8461c46d2d0""}],""features"":[],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}]},""cd"":{},""us"":""tattoo""}","1"
"1107","False","{""pd"":{""productName"":[{""v"":""Unicorn""}],""price"":[{""v"":249.0}],""category"":[{""v"":""animals""}],""description"":[{""v"":""Quisque velit nisi, pretium ut lacinia in, elementum id enim. Vivamus magna justo, lacinia eget consectetur sed, convallis at tellus. Cras ultricies ligula sed magna dictum porta.""}],""sku"":[{""v"":""UMB-UNICORN""}],""photos"":[{""v"":""umb://media/1bc5280b8658402789d958e2576e469b""}],""features"":[],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}]},""cd"":{},""us"":""unicorn""}","1"
"1108","False","{""pd"":{""productName"":[{""v"":""Ping Pong Ball""}],""price"":[{""v"":2.0}],""category"":[{""v"":""sports,bingo""}],""description"":[{""v"":""Vivamus suscipit tortor eget felis porttitor volutpat. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Cras ultricies ligula sed magna dictum porta.""}],""sku"":[{""v"":""UMB-PINGPONG""}],""photos"":[{""v"":""umb://media/c09ec77f08e3466aac58c979befd3cd6""}],""features"":[],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}]},""cd"":{},""us"":""ping-pong-ball""}","1"
"1109","False","{""pd"":{""productName"":[{""v"":""Bowling Ball""}],""price"":[{""v"":899.0}],""category"":[{""v"":""sports,bingo""}],""description"":[{""v"":""Cras ultricies ligula sed magna dictum porta.""}],""sku"":[{""v"":""UMB-BOWLING""}],""photos"":[{""v"":""umb://media/b76ddb4ee603401499066087984740ec""}],""features"":[],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}]},""cd"":{},""us"":""bowling-ball""}","1"
"1110","False","{""pd"":{""productName"":[{""v"":""Jumpsuit""}],""price"":[{""v"":89.0}],""category"":[{""v"":""fashion,bingo""}],""description"":[{""v"":""Proin eget tortor risus. Vestibulum ac diam sit amet quam vehicula elementum sed sit amet dui. Quisque velit nisi, pretium ut lacinia in, elementum id enim. Vivamus magna justo, lacinia eget consectetur sed, convallis at tellus. Cras ultricies ligula sed magna dictum porta.""}],""sku"":[{""v"":""UMB-JUMPSUIT""}],""photos"":[{""v"":""umb://media/46a025d6095a4b148b961b59ca4e951c""}],""features"":[],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}]},""cd"":{},""us"":""jumpsuit""}","1"
"1111","False","{""pd"":{""productName"":[{""v"":""Banjo""}],""price"":[{""v"":399.0}],""category"":[{""v"":""bingo,music""}],""description"":[{""v"":""Vivamus suscipit tortor eget felis porttitor volutpat. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec velit neque, auctor sit amet aliquam vel, ullamcorper sit amet ligula. Proin eget tortor risus.""}],""sku"":[{""v"":""UMB-BANJO""}],""photos"":[{""v"":""umb://media/17552d12081d4d01b68132c495d6576f""}],""features"":[],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}]},""cd"":{},""us"":""banjo""}","1"
"1112","False","{""pd"":{""productName"":[{""v"":""Knitted Unicorn West""}],""price"":[{""v"":1899.0}],""category"":[{""v"":""bingo,fashion""}],""description"":[{""v"":""Knitted Unicorn West""}],""sku"":[{""v"":""UMB-WEST""}],""photos"":[{""v"":""umb://media/1d0b713a022a49c8b842a2463c83a553""}],""features"":[],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}]},""cd"":{},""us"":""knitted-west""}","1"
"1113","False","{""pd"":{""productName"":[{""v"":""Biker Jacket""}],""price"":[{""v"":199.0}],""category"":[{""v"":""bingo,clothing""}],""description"":[{""v"":""Donec rutrum congue leo eget malesuada. Vivamus suscipit tortor eget felis porttitor volutpat.""}],""sku"":[{""v"":""UMB-BIKER-JACKET""}],""photos"":[{""v"":""umb://media/55514845b8bd487cb3709724852fd6bb""}],""features"":[{""v"":""[{\""key\"":\""6a47c043-7699-49c6-a0ed-b335b135ea2b\"",\""name\"":\""Free shipping\"",\""ncContentTypeAlias\"":\""feature\"",\""featureName\"":\""Free shipping\"",\""featureDetails\"":\""Isn't that awesome - you only pay for the product\""},{\""key\"":\""075c935f-4987-4a46-bed9-3286c27f0121\"",\""name\"":\""1 Day return policy\"",\""ncContentTypeAlias\"":\""feature\"",\""featureName\"":\""1 Day return policy\"",\""featureDetails\"":\""You'll need to make up your mind fast\""},{\""key\"":\""457e0ee3-c066-46fa-b379-a083b38aaa20\"",\""name\"":\""100 Years warranty\"",\""ncContentTypeAlias\"":\""feature\"",\""featureName\"":\""100 Years warranty\"",\""featureDetails\"":\""But if you're satisfied it'll last a lifetime\""}]""}],""bodyText"":[{""v"":""{\n  \""name\"": \""1 column layout\"",\n  \""sections\"": [\n    {\n      \""grid\"": 12,\n      \""allowAll\"": true,\n      \""rows\"": []\n    }\n  ]\n}""}]},""cd"":{},""us"":""biker-jacket""}","1"
