"id","uniqueId","parentId","level","path","sortOrder","trashed","nodeUser","text","nodeObjectType","createDate"
"-1","916724a5-173d-4619-b97e-b9de133dd6f5","-1","0","-1","0","False","-1","SYSTEM DATA: umbraco master root","ea7d8624-4cfe-4578-a871-24aa946bf34d","2020-10-17 21:56:01"
"-20","0f582a79-1e41-4cf0-bfa0-76340651891a","-1","0","-1,-20","0","False","-1","Recycle Bin","01bb7ff2-24dc-4c0c-95a2-c24ef72bbac8","2020-10-17 21:56:01"
"-21","bf7c7cbc-952f-4518-97a2-69e9c7b33842","-1","0","-1,-21","0","False","-1","Recycle Bin","cf3d8e34-1c1c-41e9-ae56-878b57b32113","2020-10-17 21:56:01"
"-92","f0bc4bfb-b499-40d6-ba86-058885a5178c","-1","1","-1,-92","35","False","-1","Label (string)","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-91","8e7f995c-bd81-4627-9932-c40e568ec788","-1","1","-1,-91","36","False","-1","Label (integer)","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-93","930861bf-e262-4ead-a704-f99453565708","-1","1","-1,-93","36","False","-1","Label (bigint)","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-94","0e9794eb-f9b5-4f20-a788-93acd233a7e4","-1","1","-1,-94","37","False","-1","Label (datetime)","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-98","a97cec69-9b71-4c30-8b12-ec398860d7e8","-1","1","-1,-98","38","False","-1","Label (time)","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-99","8f1ef1e1-9de4-40d3-a072-6673f631ca64","-1","1","-1,-99","39","False","-1","Label (decimal)","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-90","84c6b441-31df-4ffe-b67e-67d5bc3ae65a","-1","1","-1,-90","34","False","-1","Upload","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-89","c6bac0dd-4ab9-45b1-8e30-e4b619ee5da3","-1","1","-1,-89","33","False","-1","Textarea","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-88","0cc0eba1-9960-42c9-bf9b-60e150b429ae","-1","1","-1,-88","32","False","-1","Textstring","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-87","ca90c950-0aff-4e72-b976-a30b1ac57dad","-1","1","-1,-87","4","False","-1","Richtext editor","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-51","2e6d3631-066e-44b8-aec4-96f09099b2b5","-1","1","-1,-51","2","False","-1","Numeric","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
"-49","92897bc6-a5f3-4ffe-ae27-f2e7e33dda49","-1","1","-1,-49","2","False","-1","True/false","30a2a501-1978-4ddb-a57b-f7efed43ba3c","2020-10-17 21:56:01"
